Country,CO2Emissions,YearlyChange,Percapita,Population,LifeExpectancy
Afghanistan,9900004,7.13,0.28,35383032,63.763
Albania,5208319,4.45,1.8,2886438,78.194
Algeria,156220560,0.17,3.85,40551392,76.298
Angola,30566933,3.13,1.06,28842489,59.925
Anguilla,30262,1.52,2.1,14429,81.441
Antigua and Barbuda,438763,1.51,4.64,94527,76.617
Argentina,200708270,0.16,4.61,43508460,76.221
Armenia,4597845,3.06,1.57,2936143,74.64
Aruba,286871,1.51,2.74,104872,75.868
Australia,414988700,-0.98,17.1,24262712,82.959
Austria,73764112,1.54,8.43,8747301,81.258
Azerbaijan,33614235,-0.41,3.45,9736043,72.493
Bahamas,4404247,1.51,11.65,377930,73.329
Bahrain,24458384,2.5,17.15,1425792,76.899
Bangladesh,74476230,4.5,0.47,157977153,71.785
Barbados,1541447,1.88,5.39,285796,78.888
Belarus,62655669,4.9,6.63,9445643,74.031
Belgium,94722813,1.53,8.34,11354420,81.139
Belize,1114105,1.51,3.02,368400,74.219
Benin,6563709,4.13,0.6,10872063,60.885
Bermuda,639352,1.51,10.09,63362,82.163
Bhutan,1682100,6.14,2.28,736708,70.781
Bolivia,19463728,2.03,1.76,11031814,70.626
Bosnia and Herzegovina,25674120,0.86,7.58,3386266,76.998
Botswana,6438429,-3.74,2.98,2159927,68.178
Brazil,462994920,-6.08,2.25,206163053,75.23
British Virgin Islands,99762,1.51,3.4,29355,78.576
Brunei,7672127,3.54,18.28,419800,75.45
Bulgaria,50872910,-6,7.11,7151953,74.703
Burkina Faso,2352070,3.14,0.13,18646357,60.354
Burundi,1093618,2.81,0.1,10487995,60.528
Cambodia,6496958,7.68,0.41,15766292,68.977
Cameroon,9454331,2.21,0.4,23926551,58.063
Canada,675918610,-1,18.58,36382944,82.117
Cape Verde,99687,2.59,0.19,531146,72.347
Cayman Islands,406057,1.52,6.49,62569,83.48
Central African Republic,543229,2.57,0.12,4537686,51.593
Chad,1670941,2.14,0.11,14561660,53.438
Chile,81258525,5.33,4.46,18209068,79.779
China,10432751400,-0.28,7.38,1414049351,76.21
Colombia,77667594,-0.84,1.61,48175052,76.732
Comoros,108422,2.58,0.14,795592,63.7
Congo,5212302,1.63,1.05,4980996,63.556
Cook Islands,37354,7.19,2.13,17524,75.631
Costa Rica,8328890,2.16,1.7,4899345,79.738
Cote d'Ivoire,10056492,1.16,0.42,23822714,56.567
Croatia,19408194,3.02,4.61,4208602,78.049
Cuba,30389116,1.65,2.68,11335104,78.607
Cyprus,6872427,3.73,5.87,1170187,80.513
Czech Republic (Czechia),111825428,1.39,10.53,10618857,78.881
Denmark,38007645,5.23,6.65,5711349,80.583
Djibouti,1508851,2.97,1.62,929112,65.064
Dominica,185767,1.51,2.61,71307,74.384
Dominican Republic,23466740,2.88,2.26,10397741,73.471
Ecuador,40065690,-4.85,2.43,16491116,76.365
Egypt,219377350,4.72,2.32,94447073,71.482
El Salvador,6853766,0.45,1.08,6356143,72.644
Equatorial Guinea,2156371,0,1.77,1215180,57.713
Eritrea,684140,4.79,0.2,3376557,65.111
Estonia,22402414,1.01,17.02,1316510,78.097
Eswatini,657572,2.61,0.59,1113997,56.962
Ethiopia,10438855,4.03,0.1,103603462,65.482
Faeroe Islands,1953,0.6,0.04,48173,80.255
Falkland Islands,48568,1.51,16.59,2928,81.021
Fiji,1703193,7.28,1.95,872399,67.175
Finland,51183960,3.62,9.31,5497713,81.382
France,331533320,2.11,5.13,64667596,82.328
French Guiana,1473719,1.73,5.5,267821,79.642
French Polynesia,1003249,7.18,3.65,274575,77.024
Gabon,5694208,1.12,2.84,2007873,65.418
Gambia,254127,2.59,0.12,2149136,61.166
Georgia,8610414,2.94,2.14,4015450,73.207
Germany,775752190,1.28,9.44,82193768,80.902
Ghana,14469986,3.54,0.51,28481945,63.124
Gibraltar,572708,3.53,16.98,33737,79.485
Greece,67840662,-3.47,6.39,10615185,81.727
Greenland,1530,0.86,0.03,56412,71.493
Grenada,554848,1.51,5.03,110261,72.408
Guadeloupe,2478038,1.84,6.2,399763,81.469
Guatemala,18539316,2.42,1.12,16583076,73.541
Guinea,2071798,3.2,0.18,11738429,60.17
Guinea-Bissau,318706,2.59,0.18,1782438,57.328
Guyana,3253057,1.61,4.22,771368,69.454
Haiti,3086897,1.71,0.28,10839970,62.896
Honduras,9320279,2.25,1.01,9270795,74.701
Hong Kong,47066386,1.23,6.5,7243542,84.277
Hungary,51018899,2.16,5.23,9752975,76.266
Iceland,3923884,1.62,11.81,332206,82.601
India,2533638100,4.71,1.91,1324517249,68.897
Indonesia,530035650,6.41,2.03,261556381,71.035
Iran,642560030,2.22,8.08,79563989,76.047
Iraq,162646160,1.22,4.44,36610632,70.122
Ireland,39086565,5.09,8.32,4695779,81.615
Israel,65201588,-0.38,8.04,8108985,82.503
Italy,358139550,0.84,5.9,60663060,83.008
Jamaica,8946575,1.82,3.08,2906236,74.175
Japan,1239592060,-1.21,9.7,127763265,84.09
Jordan,22772370,1.83,2.38,9554286,74.184
Kazakhstan,231919540,1.64,13.01,17830901,72.081
Kenya,16334919,3.6,0.33,49051534,65.393
Kiribati,52818,7.18,0.47,112524,67.577
Kuwait,101492225,1.36,25.65,3956875,75.224
Kyrgyzstan,6941784,2.53,1.14,6074330,71.054
